Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Changes,Zach Activations,Sabre Depth reduction,Zach Depth reduction,Sabre Time taken,Zach Time taken
AND_10.qasm,['IBM_Q20'],2556,2691,2707,176,243,34,214,1.053,1.059,0.256,23.497
AND_10.qasm,['Qgrid_20'],2556,2989,2967,513,703,84,587,1.169,1.161,0.363,61.518
AND_5.qasm,['IBM_Q20'],81,81,81,2,2,1,3,1.0,1.0,0.005,0.026
AND_5.qasm,['Qgrid_20'],81,83,86,5,3,0,3,1.025,1.062,0.007,0.068
AND_6.qasm,['IBM_Q20'],156,160,153,4,3,3,4,1.026,0.981,0.012,0.104
AND_6.qasm,['Qgrid_20'],156,171,177,24,37,2,37,1.096,1.135,0.018,0.27
AND_7.qasm,['IBM_Q20'],316,324,332,14,34,7,33,1.025,1.051,0.021,0.43
AND_7.qasm,['Qgrid_20'],316,349,354,51,93,14,79,1.104,1.12,0.039,0.836
AND_8.qasm,['IBM_Q20'],636,645,651,12,25,7,32,1.014,1.024,0.04,1.019
AND_8.qasm,['Qgrid_20'],636,713,729,94,164,22,139,1.121,1.146,0.077,3.86
AND_9.qasm,['IBM_Q20'],1276,1328,1300,76,37,4,38,1.041,1.019,0.104,4.588
AND_9.qasm,['Qgrid_20'],1276,1485,1450,259,288,34,228,1.164,1.136,0.163,13.366
excitation_preserving_10.qasm,['IBM_Q20'],374,900,783,84,69,2,185,2.406,2.094,0.112,12.444
excitation_preserving_10.qasm,['Qgrid_20'],374,643,700,103,121,3,285,1.719,1.872,0.134,16.1
excitation_preserving_5.qasm,['IBM_Q20'],174,232,227,6,14,0,52,1.333,1.305,0.019,0.58
excitation_preserving_5.qasm,['Qgrid_20'],174,201,221,19,22,2,55,1.155,1.27,0.024,0.713
excitation_preserving_6.qasm,['IBM_Q20'],214,352,364,15,20,0,97,1.645,1.701,0.03,1.402
excitation_preserving_6.qasm,['Qgrid_20'],214,251,278,20,26,1,44,1.173,1.299,0.038,1.691
excitation_preserving_7.qasm,['IBM_Q20'],254,460,450,25,28,1,117,1.811,1.772,0.045,2.466
excitation_preserving_7.qasm,['Qgrid_20'],254,394,400,43,46,0,120,1.551,1.575,0.052,3.114
excitation_preserving_8.qasm,['IBM_Q20'],294,543,574,44,45,5,185,1.847,1.952,0.064,4.623
excitation_preserving_8.qasm,['Qgrid_20'],294,480,486,71,58,2,108,1.633,1.653,0.071,5.569
excitation_preserving_9.qasm,['IBM_Q20'],334,657,701,70,54,0,142,1.967,2.099,0.083,8.685
excitation_preserving_9.qasm,['Qgrid_20'],334,561,604,75,85,4,196,1.68,1.808,0.095,9.829
grover_operator_10.qasm,['IBM_Q20'],2562,2642,2703,79,232,37,221,1.031,1.055,0.212,29.219
grover_operator_10.qasm,['Qgrid_20'],2562,2981,2860,521,462,36,359,1.164,1.116,0.359,54.994
grover_operator_5.qasm,['IBM_Q20'],87,88,87,2,2,1,3,1.011,1.0,0.007,0.034
grover_operator_5.qasm,['Qgrid_20'],87,94,94,10,11,0,10,1.08,1.08,0.008,0.076
grover_operator_6.qasm,['IBM_Q20'],162,164,163,11,13,1,9,1.012,1.006,0.012,0.099
grover_operator_6.qasm,['Qgrid_20'],162,184,173,21,28,6,34,1.136,1.068,0.02,0.346
grover_operator_7.qasm,['IBM_Q20'],322,326,330,7,14,2,17,1.012,1.025,0.022,0.353
grover_operator_7.qasm,['Qgrid_20'],322,368,359,63,68,7,56,1.143,1.115,0.045,0.863
grover_operator_8.qasm,['IBM_Q20'],642,668,674,25,84,14,81,1.04,1.05,0.051,1.794
grover_operator_8.qasm,['Qgrid_20'],642,732,709,115,97,20,96,1.14,1.104,0.09,3.71
grover_operator_9.qasm,['IBM_Q20'],1282,1299,1332,41,55,4,54,1.013,1.039,0.111,4.978
grover_operator_9.qasm,['Qgrid_20'],1282,1477,1445,224,356,36,261,1.152,1.127,0.165,15.613
hidden_linear_10.qasm,['IBM_Q20'],21,29,27,7,6,0,5,1.381,1.286,0.006,0.032
hidden_linear_10.qasm,['Qgrid_20'],21,29,28,8,6,0,9,1.381,1.333,0.006,0.047
hidden_linear_5.qasm,['IBM_Q20'],11,13,12,2,2,0,2,1.182,1.091,0.002,0.007
hidden_linear_5.qasm,['Qgrid_20'],11,13,13,2,1,0,3,1.182,1.182,0.002,0.008
hidden_linear_6.qasm,['IBM_Q20'],13,15,15,1,1,0,1,1.154,1.154,0.002,0.008
hidden_linear_6.qasm,['Qgrid_20'],13,15,15,2,2,0,2,1.154,1.154,0.002,0.012
hidden_linear_7.qasm,['IBM_Q20'],15,18,18,2,2,0,2,1.2,1.2,0.002,0.01
hidden_linear_7.qasm,['Qgrid_20'],15,18,17,4,2,0,1,1.2,1.133,0.003,0.014
hidden_linear_8.qasm,['IBM_Q20'],17,21,21,4,3,0,4,1.235,1.235,0.004,0.016
hidden_linear_8.qasm,['Qgrid_20'],17,21,20,5,4,0,4,1.235,1.176,0.004,0.023
hidden_linear_9.qasm,['IBM_Q20'],19,27,28,3,3,0,6,1.421,1.474,0.005,0.029
hidden_linear_9.qasm,['Qgrid_20'],19,26,27,10,6,0,6,1.368,1.421,0.006,0.045
inner_product_10.qasm,['IBM_Q20'],3,3,3,0,0,0,0,1.0,1.0,0.001,0.002
inner_product_10.qasm,['Qgrid_20'],3,3,3,0,0,0,0,1.0,1.0,0.001,0.002
inner_product_6.qasm,['IBM_Q20'],3,3,3,0,0,0,0,1.0,1.0,0.001,0.001
inner_product_6.qasm,['Qgrid_20'],3,3,3,0,0,0,0,1.0,1.0,0.001,0.001
inner_product_8.qasm,['IBM_Q20'],3,3,3,0,0,0,0,1.0,1.0,0.001,0.001
inner_product_8.qasm,['Qgrid_20'],3,3,3,0,0,0,0,1.0,1.0,0.001,0.001
integer_comparator_10.qasm,['IBM_Q20'],73,73,73,0,0,0,0,1.0,1.0,0.005,0.026
integer_comparator_10.qasm,['Qgrid_20'],73,84,76,11,19,2,19,1.151,1.041,0.011,0.139
integer_comparator_6.qasm,['IBM_Q20'],33,33,33,0,0,0,0,1.0,1.0,0.002,0.003
integer_comparator_6.qasm,['Qgrid_20'],33,33,34,3,3,0,2,1.0,1.03,0.003,0.025
integer_comparator_8.qasm,['IBM_Q20'],53,53,53,0,0,0,0,1.0,1.0,0.004,0.013
integer_comparator_8.qasm,['Qgrid_20'],53,59,57,8,13,1,13,1.113,1.075,0.006,0.059
IQP_10.qasm,['IBM_Q20'],72,104,113,20,19,1,26,1.444,1.569,0.017,0.189
IQP_10.qasm,['Qgrid_20'],72,98,103,24,35,3,35,1.361,1.431,0.021,0.319
IQP_5.qasm,['IBM_Q20'],32,32,32,1,1,0,1,1.0,1.0,0.003,0.008
IQP_5.qasm,['Qgrid_20'],32,34,37,6,5,0,5,1.062,1.156,0.004,0.024
IQP_6.qasm,['IBM_Q20'],40,48,47,6,6,0,6,1.2,1.175,0.005,0.029
IQP_6.qasm,['Qgrid_20'],40,47,52,7,9,0,9,1.175,1.3,0.006,0.04
IQP_7.qasm,['IBM_Q20'],48,62,55,4,9,1,11,1.292,1.146,0.007,0.05
IQP_7.qasm,['Qgrid_20'],48,67,61,10,18,1,21,1.396,1.271,0.011,0.093
IQP_8.qasm,['IBM_Q20'],56,87,89,10,9,0,9,1.554,1.589,0.01,0.078
IQP_8.qasm,['Qgrid_20'],56,93,84,16,27,2,29,1.661,1.5,0.014,0.186
IQP_9.qasm,['IBM_Q20'],60,107,105,11,14,0,13,1.783,1.75,0.015,0.133
IQP_9.qasm,['Qgrid_20'],60,93,99,19,21,1,21,1.55,1.65,0.017,0.228
OR_10.qasm,['IBM_Q20'],2557,2616,2706,126,192,21,177,1.023,1.058,0.206,23.995
OR_10.qasm,['Qgrid_20'],2557,2969,2965,505,643,47,469,1.161,1.16,0.35,61.748
OR_5.qasm,['IBM_Q20'],82,84,85,1,2,1,3,1.024,1.037,0.006,0.035
OR_5.qasm,['Qgrid_20'],82,91,86,5,7,0,5,1.11,1.049,0.008,0.065
OR_6.qasm,['IBM_Q20'],157,158,161,2,13,0,15,1.006,1.025,0.011,0.125
OR_6.qasm,['Qgrid_20'],157,179,179,38,31,4,34,1.14,1.14,0.023,0.225
OR_7.qasm,['IBM_Q20'],317,319,329,3,19,0,17,1.006,1.038,0.02,0.403
OR_7.qasm,['Qgrid_20'],317,365,366,67,63,6,51,1.151,1.155,0.045,0.868
OR_8.qasm,['IBM_Q20'],637,666,667,37,61,19,74,1.046,1.047,0.05,1.533
OR_8.qasm,['Qgrid_20'],637,723,718,116,171,14,145,1.135,1.127,0.094,3.927
OR_9.qasm,['IBM_Q20'],1277,1300,1337,48,52,3,55,1.018,1.047,0.11,4.748
OR_9.qasm,['Qgrid_20'],1277,1438,1457,202,289,40,269,1.126,1.141,0.175,15.734
phase_estimation_10.qasm,['IBM_Q20'],2604,3113,2660,340,37,2,40,1.195,1.022,0.389,23.322
phase_estimation_10.qasm,['Qgrid_20'],2604,3435,3447,746,811,40,889,1.319,1.324,0.544,106.599
phase_estimation_5.qasm,['IBM_Q20'],84,89,90,3,4,1,8,1.06,1.071,0.009,0.081
phase_estimation_5.qasm,['Qgrid_20'],84,102,109,19,20,1,24,1.214,1.298,0.015,0.136
phase_estimation_6.qasm,['IBM_Q20'],172,178,178,4,4,1,8,1.035,1.035,0.025,0.174
phase_estimation_6.qasm,['Qgrid_20'],172,218,215,36,52,2,51,1.267,1.25,0.034,0.618
phase_estimation_7.qasm,['IBM_Q20'],340,368,342,23,5,0,5,1.082,1.006,0.055,0.434
phase_estimation_7.qasm,['Qgrid_20'],340,442,430,95,107,6,93,1.3,1.265,0.077,2.118
phase_estimation_8.qasm,['IBM_Q20'],668,680,698,11,14,0,15,1.018,1.045,0.072,1.066
phase_estimation_8.qasm,['Qgrid_20'],668,876,854,174,192,5,200,1.311,1.278,0.144,7.793
phase_estimation_9.qasm,['IBM_Q20'],1316,1369,1366,22,24,0,22,1.04,1.038,0.162,5.495
phase_estimation_9.qasm,['Qgrid_20'],1316,1791,1776,377,448,22,443,1.361,1.35,0.272,26.807
phase_oracle_10.qasm,['IBM_Q20'],636,649,683,14,55,11,49,1.02,1.074,0.057,2.06
phase_oracle_10.qasm,['Qgrid_20'],636,728,734,98,143,20,105,1.145,1.154,0.096,3.748
phase_oracle_5.qasm,['IBM_Q20'],36,36,36,0,0,0,0,1.0,1.0,0.002,0.005
phase_oracle_5.qasm,['Qgrid_20'],36,40,42,2,8,2,9,1.111,1.167,0.004,0.021
phase_oracle_6.qasm,['IBM_Q20'],36,36,36,0,0,2,3,1.0,1.0,0.003,0.006
