Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Changes,Zach Activations,Sabre Time taken,Zach Time taken,,
AND_10.qasm,['IBM_Q20'],2556,2752,2684,206,181,27,166,0.248,19.151,,
AND_10.qasm,['Qgrid_20'],2556,3009,2902,581,642,73,503,0.376,59.771,,
AND_11.qasm,['IBM_Q20'],5116,5356,5329,335,357,65,281,0.572,118.501,,
AND_11.qasm,['Qgrid_20'],5116,6015,5845,1147,1350,147,981,0.924,258.71,,
AND_5.qasm,['IBM_Q20'],81,81,81,1,2,0,2,0.006,0.023,,
AND_5.qasm,['Qgrid_20'],81,87,83,6,10,0,9,0.008,0.061,,
AND_6.qasm,['IBM_Q20'],156,157,157,2,9,2,5,0.015,0.066,,
AND_6.qasm,['Qgrid_20'],156,166,171,16,52,9,48,0.023,0.252,,
AND_7.qasm,['IBM_Q20'],316,322,317,8,7,3,11,0.025,0.309,,
AND_7.qasm,['Qgrid_20'],316,337,360,40,67,10,65,0.051,1.013,,
AND_8.qasm,['IBM_Q20'],636,646,664,22,46,13,50,0.055,1.766,,
AND_8.qasm,['Qgrid_20'],636,738,712,135,167,28,148,0.097,3.96,,
AND_9.qasm,['IBM_Q20'],1276,1318,1294,53,42,13,44,0.119,4.681,,
AND_9.qasm,['Qgrid_20'],1276,1473,1462,255,289,37,276,0.182,17.132,,
excitation_preserving_10.qasm,['IBM_Q20'],374,785,907,85,59,2,251,0.126,12.539,,
excitation_preserving_10.qasm,['Qgrid_20'],374,696,791,111,110,4,231,0.137,16.791,,
excitation_preserving_11.qasm,['IBM_Q20'],414,904,963,84,107,1,220,0.171,19.919,,
excitation_preserving_11.qasm,['Qgrid_20'],414,668,761,136,143,3,309,0.197,24.134,,
excitation_preserving_5.qasm,['IBM_Q20'],174,234,233,11,8,0,50,0.022,0.538,,
excitation_preserving_5.qasm,['Qgrid_20'],174,253,234,19,22,0,65,0.028,0.826,,
excitation_preserving_6.qasm,['IBM_Q20'],214,350,391,15,15,0,52,0.035,1.078,,
excitation_preserving_6.qasm,['Qgrid_20'],214,283,282,20,26,2,60,0.05,1.813,,
excitation_preserving_7.qasm,['IBM_Q20'],254,437,476,24,30,2,74,0.049,2.253,,
excitation_preserving_7.qasm,['Qgrid_20'],254,433,416,61,49,1,106,0.063,3.369,,
excitation_preserving_8.qasm,['IBM_Q20'],294,471,599,46,44,1,168,0.074,4.921,,
excitation_preserving_8.qasm,['Qgrid_20'],294,525,520,64,66,0,154,0.08,6.052,,
excitation_preserving_9.qasm,['IBM_Q20'],334,672,691,57,70,6,173,0.103,7.869,,
excitation_preserving_9.qasm,['Qgrid_20'],334,608,616,82,99,5,232,0.11,9.875,,
grover_operator_10.qasm,['IBM_Q20'],2562,2793,2692,265,140,13,137,0.285,23.655,,
grover_operator_10.qasm,['Qgrid_20'],2562,2952,2937,506,675,63,522,0.406,70.986,,
grover_operator_11.qasm,['IBM_Q20'],5122,5424,5428,354,497,63,432,0.59,105.464,,
grover_operator_11.qasm,['Qgrid_20'],5122,5954,5894,1037,1275,143,1017,0.857,260.853,,304.3792299
grover_operator_5.qasm,['IBM_Q20'],87,88,87,3,2,0,2,0.007,0.03,,
grover_operator_5.qasm,['Qgrid_20'],87,91,92,9,7,0,6,0.01,0.071,,
grover_operator_6.qasm,['IBM_Q20'],162,163,166,2,5,0,6,0.013,0.105,,
grover_operator_6.qasm,['Qgrid_20'],162,171,173,14,18,1,16,0.023,0.297,,
grover_operator_7.qasm,['IBM_Q20'],322,327,328,9,13,0,12,0.023,0.315,,
grover_operator_7.qasm,['Qgrid_20'],322,371,366,67,61,8,59,0.061,0.98,,
grover_operator_8.qasm,['IBM_Q20'],642,673,673,39,60,7,50,0.072,1.774,,
grover_operator_8.qasm,['Qgrid_20'],642,754,713,138,121,12,111,0.117,3.731,,
grover_operator_9.qasm,['IBM_Q20'],1282,1304,1371,42,116,6,99,0.133,5.796,,
grover_operator_9.qasm,['Qgrid_20'],1282,1505,1447,286,284,27,250,0.214,14.126,,
hidden_linear_10.qasm,['IBM_Q20'],21,27,30,6,3,0,3,0.006,0.033,,
hidden_linear_10.qasm,['Qgrid_20'],21,26,27,5,6,1,7,0.006,0.055,,
hidden_linear_11.qasm,['IBM_Q20'],23,32,29,7,5,0,4,0.007,0.038,,
hidden_linear_11.qasm,['Qgrid_20'],23,33,32,11,13,0,14,0.008,0.077,,
hidden_linear_5.qasm,['IBM_Q20'],11,12,12,1,1,0,1,0.002,0.007,,
hidden_linear_5.qasm,['Qgrid_20'],11,12,11,2,3,0,3,0.002,0.009,,
hidden_linear_6.qasm,['IBM_Q20'],13,15,15,2,2,0,2,0.002,0.009,,
hidden_linear_6.qasm,['Qgrid_20'],13,16,15,2,2,0,2,0.003,0.01,,
hidden_linear_7.qasm,['IBM_Q20'],15,17,19,2,2,0,4,0.003,0.016,,
hidden_linear_7.qasm,['Qgrid_20'],15,17,18,2,4,0,4,0.003,0.014,,
hidden_linear_8.qasm,['IBM_Q20'],17,25,23,4,3,0,3,0.004,0.019,,
hidden_linear_8.qasm,['Qgrid_20'],17,21,21,3,5,0,5,0.004,0.03,,
hidden_linear_9.qasm,['IBM_Q20'],19,26,24,2,4,0,3,0.005,0.025,,
hidden_linear_9.qasm,['Qgrid_20'],19,24,24,6,5,0,5,0.006,0.037,,
inner_product_10.qasm,['IBM_Q20'],3,3,3,0,0,0,0,0.001,0.002,,
inner_product_10.qasm,['Qgrid_20'],3,3,3,0,0,0,0,0.001,0.002,,
inner_product_6.qasm,['IBM_Q20'],3,3,3,0,0,0,0,0.001,0.002,,
inner_product_6.qasm,['Qgrid_20'],3,3,3,0,0,0,0,0.001,0.001,,
inner_product_8.qasm,['IBM_Q20'],3,3,3,0,0,0,0,0.001,0.002,,
inner_product_8.qasm,['Qgrid_20'],3,3,3,0,0,0,0,0.001,0.002,,
integer_comparator_10.qasm,['IBM_Q20'],73,73,73,0,0,0,0,0.008,0.025,,
integer_comparator_10.qasm,['Qgrid_20'],73,84,78,11,15,1,13,0.011,0.098,,
integer_comparator_6.qasm,['IBM_Q20'],33,33,33,0,0,0,0,0.002,0.004,,
integer_comparator_6.qasm,['Qgrid_20'],33,34,35,3,3,0,2,0.004,0.029,,
integer_comparator_8.qasm,['IBM_Q20'],53,53,53,0,0,0,0,0.004,0.017,,
