Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Activations,Sabre Depth reduction,Zach Depth reduction,Sabre Time taken,Zach Time taken
AND_10.qasm,['IBM_Q20'],2556,2708,2673,164,165,,1.059,1.046,0.061,21.01
AND_10.qasm,['Qgrid_20'],2556,2934,2966,491,669,,1.148,1.16,0.07,65.931
AND_5.qasm,['IBM_Q20'],81,86,87,1,5,,1.062,1.074,0.003,0.024
AND_5.qasm,['Qgrid_20'],81,84,87,5,5,,1.037,1.074,0.003,0.045
AND_6.qasm,['IBM_Q20'],156,158,158,2,8,,1.013,1.013,0.004,0.093
AND_6.qasm,['Qgrid_20'],156,167,178,19,26,,1.071,1.141,0.004,0.24
AND_7.qasm,['IBM_Q20'],316,325,337,13,44,,1.028,1.066,0.007,0.582
AND_7.qasm,['Qgrid_20'],316,357,355,35,68,,1.13,1.123,0.009,0.818
AND_8.qasm,['IBM_Q20'],636,644,644,11,13,,1.013,1.013,0.014,0.74
AND_8.qasm,['Qgrid_20'],636,702,729,80,152,,1.104,1.146,0.033,3.972
AND_9.qasm,['IBM_Q20'],1276,1315,1351,47,112,,1.031,1.059,0.029,5.201
AND_9.qasm,['Qgrid_20'],1276,1455,1481,209,381,,1.14,1.161,0.033,15.545
excitation_preserving_10.qasm,['IBM_Q20'],374,897,786,73,78,,2.398,2.102,0.035,10.639
excitation_preserving_10.qasm,['Qgrid_20'],374,689,737,109,105,,1.842,1.971,0.035,15.482
excitation_preserving_5.qasm,['IBM_Q20'],174,254,244,7,9,,1.46,1.402,0.01,0.691
excitation_preserving_5.qasm,['Qgrid_20'],174,299,260,13,34,,1.718,1.494,0.008,0.764
excitation_preserving_6.qasm,['IBM_Q20'],214,359,387,14,11,,1.678,1.808,0.012,0.859
excitation_preserving_6.qasm,['Qgrid_20'],214,250,298,20,24,,1.168,1.393,0.012,1.158
excitation_preserving_7.qasm,['IBM_Q20'],254,564,562,14,12,,2.22,2.213,0.016,2.471
excitation_preserving_7.qasm,['Qgrid_20'],254,441,395,36,61,,1.736,1.555,0.016,2.967
excitation_preserving_8.qasm,['IBM_Q20'],294,685,623,36,39,,2.33,2.119,0.037,2.761
excitation_preserving_8.qasm,['Qgrid_20'],294,398,455,53,67,,1.354,1.548,0.025,4.387
excitation_preserving_9.qasm,['IBM_Q20'],334,815,705,44,61,,2.44,2.111,0.028,9.295
excitation_preserving_9.qasm,['Qgrid_20'],334,595,601,71,94,,1.781,1.799,0.046,9.654
grover_operator_10.qasm,['IBM_Q20'],2562,2727,2691,205,229,,1.064,1.05,0.081,25.167
grover_operator_10.qasm,['Qgrid_20'],2562,2978,2996,488,660,,1.162,1.169,0.087,54.49
grover_operator_5.qasm,['IBM_Q20'],87,90,91,1,5,,1.034,1.046,0.003,0.024
grover_operator_5.qasm,['Qgrid_20'],87,90,91,4,13,,1.034,1.046,0.003,0.091
grover_operator_6.qasm,['IBM_Q20'],162,165,184,2,29,,1.019,1.136,0.005,0.212
grover_operator_6.qasm,['Qgrid_20'],162,177,178,18,26,,1.093,1.099,0.005,0.186
grover_operator_7.qasm,['IBM_Q20'],322,328,342,8,20,,1.019,1.062,0.008,0.66
grover_operator_7.qasm,['Qgrid_20'],322,348,368,31,74,,1.081,1.143,0.009,0.917
grover_operator_8.qasm,['IBM_Q20'],642,653,668,21,37,,1.017,1.04,0.018,1.2
grover_operator_8.qasm,['Qgrid_20'],642,729,720,98,117,,1.136,1.121,0.017,2.744
grover_operator_9.qasm,['IBM_Q20'],1282,1292,1338,22,81,,1.008,1.044,0.045,4.769
grover_operator_9.qasm,['Qgrid_20'],1282,1445,1479,202,340,,1.127,1.154,0.054,15.762
hidden_linear_10.qasm,['IBM_Q20'],21,30,31,3,8,,1.429,1.476,0.002,0.027
hidden_linear_10.qasm,['Qgrid_20'],21,28,31,9,6,,1.333,1.476,0.002,0.031
hidden_linear_5.qasm,['IBM_Q20'],11,14,14,1,1,,1.273,1.273,0.001,0.005
hidden_linear_5.qasm,['Qgrid_20'],11,13,14,1,3,,1.182,1.273,0.001,0.013
hidden_linear_6.qasm,['IBM_Q20'],13,17,14,2,2,,1.308,1.077,0.001,0.011
hidden_linear_6.qasm,['Qgrid_20'],13,18,15,2,2,,1.385,1.154,0.002,0.01
hidden_linear_7.qasm,['IBM_Q20'],15,22,18,3,3,,1.467,1.2,0.002,0.014
hidden_linear_7.qasm,['Qgrid_20'],15,17,18,4,4,,1.133,1.2,0.002,0.021
hidden_linear_8.qasm,['IBM_Q20'],17,22,21,3,3,,1.294,1.235,0.002,0.018
hidden_linear_8.qasm,['Qgrid_20'],17,21,21,4,5,,1.235,1.235,0.002,0.027
hidden_linear_9.qasm,['IBM_Q20'],19,23,25,4,3,,1.211,1.316,0.002,0.022
hidden_linear_9.qasm,['Qgrid_20'],19,29,25,7,6,,1.526,1.316,0.002,0.032
inner_product_10.qasm,['IBM_Q20'],3,3,3,0,0,,1,1,0.001,0.002
inner_product_10.qasm,['Qgrid_20'],3,3,3,0,0,,1,1,0.001,0.002
inner_product_6.qasm,['IBM_Q20'],3,3,3,0,0,,1,1,0.001,0.002
inner_product_6.qasm,['Qgrid_20'],3,3,3,0,0,,1,1,0.001,0.002
inner_product_8.qasm,['IBM_Q20'],3,3,3,0,0,,1,1,0.001,0.001
inner_product_8.qasm,['Qgrid_20'],3,3,3,0,0,,1,1,0.001,0.002
integer_comparator_10.qasm,['IBM_Q20'],73,75,78,4,5,,1.027,1.068,0.003,0.04
integer_comparator_10.qasm,['Qgrid_20'],73,83,82,7,18,,1.137,1.123,0.003,0.126
integer_comparator_6.qasm,['IBM_Q20'],33,33,33,0,0,,1,1,0.002,0.003
integer_comparator_6.qasm,['Qgrid_20'],33,37,36,3,3,,1.121,1.091,0.002,0.013
integer_comparator_8.qasm,['IBM_Q20'],53,56,55,1,8,,1.057,1.038,0.002,0.04
integer_comparator_8.qasm,['Qgrid_20'],53,56,60,4,7,,1.057,1.132,0.002,0.072
IQP_10.qasm,['IBM_Q20'],72,118,122,14,22,,1.639,1.694,0.005,0.239
IQP_10.qasm,['Qgrid_20'],72,105,115,23,32,,1.458,1.597,0.005,0.304
IQP_5.qasm,['IBM_Q20'],32,32,32,1,1,,1,1,0.001,0.012
